state,cpr_rating,abortions,abortion_rate,abortion_ratio,perc_obtain_by_out_of_state,perc_obtain_by_out_of_state_perc,white,white_perc,black,black_perc,other,other_perc,hispanic,hispanic_perc,married,married_perc,unmarried,unmarried_perc,prev_births_0,prev_births_0_perc,prev_births_1,prev_births_1_perc,prev_births_2,prev_births_2_perc,prev_births_3,prev_births_3_perc,prev_births_4_or_more,prev_births_4_or_more_perc,prev_abortions_0,prev_abortions_0_perc,prev_abortions_1,prev_abortions_1_perc,prev_abortions_2,prev_abortions_2_perc,prev_abortions_3_or_more,prev_abortions_3_or_more_perc,weeks_gestation_less_6,weeks_gestation_less_6_perc,weeks_gestation_7_to_9,weeks_gestation_7_to_9_perc,weeks_gestation_10_13,weeks_gestation_10_13_perc,weeks_gestation_14_15,weeks_gestation_14_15_perc,weeks_gestation_16_17,weeks_gestation_16_17_perc,weeks_gestation_18_20,weeks_gestation_18_20_perc,weeks_gestation_21_or_more,weeks_gestation_21_or_more_perc,surgical_less_than_13_weeks,surgical_less_than_13_weeks_perc,surgical_more_than_13_weeks,surgical_more_than_13_weeks_perc,surgical_unknown,surgical_unknown_perc,medical_less_than_9_weeks,medical_less_than_9_weeks_perc,medical_more_than_9_weeks,medical_more_than_9_weeks_perc,medical_unknown,medical_unknown_perc,intrauterin_instillation,intrauterin_instillation_perc,hysterectomy_hysterotomy,hysterectomy_hysterotomy_perc,x2020_pop,x2020_pop_hisp,x2020_pop_white_non_hisp,x2020_pop_black_non_hisp,x2020_pop_aian_non_hisp,x2020_pop_nhpi_non_hisp,x2020_pop_other_non_hisp,pop_in_millions,previous_abortion_perc,previoss_birth_perc,pretty_previous_abortion_perc,pretty_previoss_birth_perc,pretty_married_perc
Alabama,Hostile,6009,6.3,103,NA,17.3,NA,30.4,NA,61.9,142,2.4,323,5.4,663,11,NA,89,NA,33.8,NA,27.6,NA,22.8,602,10,348,5.8,NA,66.7,NA,22.2,443,7.4,226,3.8,NA,21.3,NA,46.8,NA,20.9,317,5.3,163,2.7,133,2.2,46,0.8,NA,54.2,653,10.9,NA,NA,NA,33.8,58,1,NA,NA,0,NA,0,NA,5024279,264047,3171351,1288159,23119,2612,14455,5.024279,33.4,66.2,33.4%,66.2%,11%
Alaska,Protected,1270,8.8,129,19,1.5,584,49,85,7.1,470,39.5,52,4.4,253,21.1,945,78.9,575,45.3,233,18.4,258,20.3,103,8.1,100,7.9,819,64.5,271,21.4,109,8.6,70,5.5,292,23,639,50.4,271,21.4,64,5,NA,NA,NA,NA,0,NA,895,70.5,65,5.1,0,NA,305,24,NA,NA,NA,NA,NA,NA,0,NA,733391,49824,421758,20731,108838,12455,4575,0.733391,35.5,54.7,35.5%,54.7%,21.1%
Arizona,Hostile,13097,9.4,165,67,0.5,NA,38.4,NA,10.9,NA,9.9,NA,40.8,NA,14.3,NA,85.7,NA,44,NA,21.5,NA,18.7,NA,9.2,846,6.5,NA,65.6,NA,23.6,955,7.4,445,3.4,NA,29.5,NA,45.7,NA,15.9,496,3.8,261,2,245,1.9,168,1.3,NA,51.7,992,7.6,0,NA,NA,38.4,159,1.2,0,NA,137,1,0,NA,7151502,2192253,3816547,317161,263930,14323,31611,7.151502,34.4,55.900000000000006,34.4%,55.9%,14.3%
Arkansas,Hostile,2963,5.1,81,338,11.4,NA,44,NA,47.2,68,2.3,190,6.5,376,12.7,NA,87.3,NA,35.2,771,26,650,21.9,295,10,205,6.9,NA,64.6,587,19.8,233,7.9,228,7.7,479,16.2,NA,42.7,862,29.1,150,5.1,82,2.8,97,3.3,28,0.9,NA,46.2,356,12,0,NA,829,28,408,13.8,0,NA,0,NA,0,NA,3011524,256847,2063550,449884,20549,14280,8047,3.011524,35.400000000000006,64.8,35.4%,64.8%,12.7%
California,Expanded Access,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39538223,15579652,13714587,2119286,156085,138167,223929,39.538223,NA,NA,No Data,No Data,No Data
Colorado,Protected,9002,7.6,143,946,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,NA,80.9,NA,57.7,NA,18.3,NA,14.1,573,6.4,310,3.5,NA,69.9,NA,20.6,601,6.7,251,2.8,NA,40.4,NA,40.7,NA,11.8,198,2.2,150,1.7,110,1.2,173,1.9,NA,35.9,400,4.8,NA,NA,NA,57.8,120,1.4,0,NA,NA,NA,0,NA,5773714,1263390,3760663,221310,33768,9005,29560,5.773714,30.1,42.3,30.1%,42.3%,19.1%
Connecticut,Expanded Access,9202,13.7,269,334,3.6,NA,37.4,NA,33,506,6.1,NA,23.6,939,11.5,NA,88.5,NA,40.6,NA,25.2,NA,20,839,9.1,465,5.1,NA,53.2,NA,23.5,NA,12.2,NA,11.1,NA,45.7,NA,35.7,947,10.7,263,3,175,2,164,1.9,95,1.1,NA,41,687,7.5,136,1.5,NA,47.8,25,0.3,173,1.9,0,NA,0,NA,3605944,623293,2279232,360937,6404,974,27076,3.605944,46.800000000000004,59.400000000000006,46.8%,59.4%,11.5%
Delaware,Protected,2042,11.3,193,277,13.6,863,42.5,850,41.9,72,3.5,244,12,224,11,NA,89,849,42.1,501,24.8,390,19.3,159,7.9,118,5.9,NA,61.5,472,23.3,197,9.7,109,5.4,536,26.3,NA,52.5,328,16.1,73,3.6,16,0.8,6,0.3,9,0.4,722,36,101,5,NA,NA,NA,56.6,46,2.3,NA,NA,0,NA,0,NA,989948,104290,579851,212960,2521,304,4601,0.989948,38.4,57.9,38.4%,57.9%,11%
District of Columbia,Protected,4552,23.9,501,NA,68.7,831,18.8,NA,53.4,517,11.7,717,16.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,382,8.4,0,NA,NA,NA,NA,NA,NA,43.9,0,NA,0,NA,689545,77652,261771,282066,1277,349,3753,0.689545,NA,NA,No Data,No Data,No Data
Florida,Protected,71914,18.5,327,NA,3.1,NA,30.9,NA,34.6,NA,4.8,NA,29.7,NA,16.1,NA,83.9,NA,38.3,NA,25.2,NA,20.7,NA,9.3,NA,6.6,NA,58,NA,23.9,NA,10.3,NA,7.8,NA,73.5,NA,16.2,NA,6.7,973,1.4,691,1,699,1,217,0.3,NA,47.1,NA,3.7,0,NA,NA,48.7,352,0.5,0,NA,0,NA,8,0,21538187,5697240,11100503,3127052,42169,11521,137933,21.538187,42,61.800000000000004,42%,61.8%,16.1%
Georgia,Hostile,36907,16.9,292,NA,17.6,NA,21.2,NA,64.9,NA,5.2,NA,8.7,NA,12.8,NA,87.2,NA,38.8,NA,24.7,NA,20.1,NA,9.9,NA,6.6,NA,61.1,NA,23.8,NA,9.8,NA,5.4,NA,43.6,NA,37.6,NA,11.9,927,2.5,653,1.8,752,2,229,0.6,NA,42.8,NA,6.9,0,NA,NA,49.4,309,0.8,0,NA,0,NA,0,NA,10711908,1123457,5362156,3278119,20375,6101,55887,10.711908,39,61.3,39%,61.3%,12.8%
Hawaii,Expanded Access,2003,7.6,119,49,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.8,338,16.9,313,15.7,160,8,92,4.6,NA,62.2,452,22.6,178,8.9,125,6.3,678,33.9,861,43,268,13.4,80,4,43,2.1,49,2.4,22,1.1,NA,51.4,194,9.7,NA,NA,776,38.8,NA,NA,0,NA,0,NA,0,NA,1455271,138923,314365,21877,2321,149054,5283,1.455271,37.8,45.199999999999996,37.8%,45.2%,"NA%"
Idaho,Hostile,1513,4.4,69,78,5.2,939,67.5,39,2.8,68,4.9,346,24.9,302,21.6,NA,78.4,694,46.3,316,21.1,277,18.5,130,8.7,83,5.5,NA,81.8,209,13.9,44,2.9,21,1.4,493,32.9,707,47.1,257,17.1,37,2.5,NA,NA,NA,NA,NA,NA,826,54.7,42,2.8,10,0.7,621,41.1,8,0.5,NA,NA,NA,NA,0,NA,1839106,239407,1450523,14785,18903,3401,8243,1.839106,18.2,53.8,18.2%,53.8%,21.6%
Illinois,Protected,46517,18.6,332,NA,16.2,NA,51.6,NA,31.6,583,7.7,691,9.1,NA,9.5,NA,90.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12812508,2337410,7472751,1775612,16561,2959,45080,12.812508,NA,NA,No Data,No Data,No Data
Indiana,Hostile,7637,5.8,94,618,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3,NA,85.7,NA,39.9,NA,24,NA,20.4,780,10.2,423,5.5,NA,67.6,NA,22.4,539,7.1,226,3,NA,25.2,NA,53.1,NA,21.2,9,0.1,8,0.1,17,0.2,6,0.1,NA,55.5,36,0.5,0,NA,NA,43.2,62,0.8,0,NA,0,NA,0,NA,6785528,554191,5121004,637500,12938,2761,25139,6.785528,32.5,60.099999999999994,32.5%,60.1%,14.3%
Iowa,Protected,3566,6,95,490,13.7,NA,NA,NA,NA,NA,NA,NA,NA,633,17.8,NA,82.2,NA,40.4,781,22.1,705,19.9,356,10.1,268,7.6,NA,75.6,565,16,186,5.3,114,3.2,NA,46.3,NA,36.6,412,11.6,68,1.9,58,1.6,54,1.5,17,0.5,948,26.8,190,5.4,0,NA,NA,66.7,40,1.1,0,NA,0,NA,0,NA,3190369,215986,2638201,129321,9079,5605,8487,3.190369,24.5,59.7,24.5%,59.7%,17.8%
Kansas,Protected,6894,12.3,195,NA,48.9,NA,54,NA,23.7,534,7.8,NA,14.5,NA,15.5,NA,84.5,NA,40.5,NA,24.5,NA,19.2,681,9.9,405,5.9,NA,67.4,NA,21.3,499,7.2,281,4.1,NA,40,NA,39.5,921,13.4,195,2.8,121,1.8,137,2,37,0.5,NA,28.4,486,7.1,0,NA,NA,63.3,82,1.2,0,NA,0,NA,0,NA,2937880,382603,2122575,163352,21921,3115,10064,2.93788,32.6,59.5,32.6%,59.5%,15.5%
Kentucky,Hostile,3664,4.3,69,643,17.5,NA,55.7,NA,33.7,133,3.6,253,6.9,525,14.3,NA,85.7,NA,35.5,934,25.5,871,23.8,338,9.2,221,6,NA,63.4,866,23.6,293,8,181,4.9,NA,35.5,NA,40.7,550,15,116,3.2,65,1.8,109,3,29,0.8,NA,41.3,306,8.4,0,NA,NA,49.9,18,0.5,0,NA,0,NA,0,NA,4505836,207854,3664764,357764,8080,3462,14706,4.505836,36.5,64.5,36.5%,64.5%,14.3%
Louisiana,Hostile,8144,8.8,138,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,828,10.5,NA,89.5,NA,32.3,NA,27.5,NA,22.2,894,11,564,6.9,NA,62.7,NA,24.7,732,9,291,3.6,NA,34.6,NA,43.8,NA,15.7,273,3.4,173,2.1,38,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4657757,322549,2596702,1452420,25994,1706,16954,4.657757,37.300000000000004,67.60000000000001,37.3%,67.6%,10.5%
Maine,Protected,2021,8.7,172,107,5.3,NA,NA,NA,NA,NA,NA,NA,NA,308,16,NA,84,NA,49.7,431,21.4,362,18,148,7.3,73,3.6,NA,65.1,455,22.6,153,7.6,95,4.7,595,29.5,996,49.3,317,15.7,48,2.4,33,1.6,31,1.5,0,NA,888,44,106,5.3,NA,NA,960,47.6,63,3.1,NA,NA,0,NA,0,NA,1362359,26609,1228264,25115,7293,407,4430,1.362359,34.900000000000006,50.3,34.9%,50.3%,16%
Maryland,Protected,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6177224,729745,2913782,1795027,12055,2575,35314,6.177224,NA,NA,No Data,No Data,No Data
Massachusetts,Protected,18593,13.3,269,631,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2,NA,23.3,NA,18.7,NA,7.9,645,3.8,NA,52.6,NA,26.9,NA,12.4,NA,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,NA,NA,NA,NA,NA,43.2,67,0.4,0,NA,7029917,887685,4748897,457055,9387,1607,92108,7.029917,47.4,53.699999999999996,47.4%,53.7%,"NA%"
Michigan,Hostile,27339,14.6,253,NA,5.2,NA,39.9,NA,51.6,NA,4.5,NA,3.9,NA,10.3,NA,89.7,NA,34.7,NA,25.9,NA,22.7,NA,10.3,NA,6.4,NA,51.7,NA,24.9,NA,13.5,NA,9.9,NA,33,NA,42.1,NA,14.9,NA,4.1,667,2.4,584,2.1,353,1.3,NA,47.6,NA,9.7,42,0.2,NA,41.1,386,1.4,10,0,0,NA,0,NA,10077331,564422,7295651,1358458,47406,2603,37183,10.077331,48.3,65.3,48.3%,65.3%,10.3%
